Year,Country,TempChange
1961,Australia,0.044
1962,Australia,0.116
1963,Australia,-0.289
1964,Australia,-0.172
1965,Australia,0
1966,Australia,0.027
1967,Australia,-0.405
1968,Australia,0.149
1969,Australia,0.234
1970,Australia,0.237
1971,Australia,0.347
1972,Australia,-0.415
1973,Australia,1.059
1974,Australia,-0.57
1975,Australia,-0.301
1976,Australia,-0.658
1977,Australia,0.577
1978,Australia,0.521
1979,Australia,0.321
1980,Australia,0.71
1981,Australia,0.57
1982,Australia,0.609
1983,Australia,1.163
1984,Australia,-0.319
1985,Australia,0.629
1986,Australia,0.273
1987,Australia,0.007
1988,Australia,0.497
1989,Australia,0.211
1990,Australia,0.294
1991,Australia,0.866
1992,Australia,0.081
1993,Australia,-0.002
1994,Australia,0.167
1995,Australia,0.417
1996,Australia,0.082
1997,Australia,0.329
1998,Australia,1.123
1999,Australia,0.621
2000,Australia,-0.318
2001,Australia,0.672
2002,Australia,-0.235
2003,Australia,1.008
2004,Australia,0.897
2005,Australia,0.713
2006,Australia,0.988
2007,Australia,0.843
2008,Australia,0.426
2009,Australia,0.537
2010,Australia,1.013
2011,Australia,0.276
2012,Australia,0.019
2013,Australia,1.463
2014,Australia,0.856
2015,Australia,1.141
2016,Australia,1.14
2017,Australia,0.928
2018,Australia,1.266
2019,Australia,2.078
1961,Brazil,-0.126
1962,Brazil,-0.081
1963,Brazil,-0.132
1964,Brazil,0.056
1965,Brazil,-0.358
1966,Brazil,0.229
1967,Brazil,-0.039
1968,Brazil,-0.261
1969,Brazil,0.203
1970,Brazil,0.151
1971,Brazil,0.102
1972,Brazil,-0.257
1973,Brazil,0.724
1974,Brazil,-0.105
1975,Brazil,-0.246
1976,Brazil,-0.212
1977,Brazil,0.045
1978,Brazil,0.151
1979,Brazil,-0.13
1980,Brazil,0.132
1981,Brazil,0.182
1982,Brazil,0.077
1983,Brazil,0.499
1984,Brazil,0.364
1985,Brazil,0.048
1986,Brazil,0.222
1987,Brazil,0.498
1988,Brazil,0.766
1989,Brazil,0.154
1990,Brazil,0.246
1991,Brazil,0.461
1992,Brazil,0.462
1993,Brazil,0.209
1994,Brazil,0.509
1995,Brazil,0.796
1996,Brazil,0.671
1997,Brazil,0.516
1998,Brazil,1.482
1999,Brazil,0.71
2000,Brazil,0.474
2001,Brazil,0.557
2002,Brazil,0.601
2003,Brazil,1.114
2004,Brazil,0.823
2005,Brazil,1.137
2006,Brazil,0.913
2007,Brazil,1.111
2008,Brazil,0.618
2009,Brazil,0.697
2010,Brazil,1.217
2011,Brazil,0.774
2012,Brazil,0.625
2013,Brazil,1.158
2014,Brazil,1.08
2015,Brazil,1.259
2016,Brazil,1.861
2017,Brazil,1.263
2018,Brazil,1.041
2019,Brazil,1.371
1961,Canada,0.632
1962,Canada,0.113
1963,Canada,0.106
1964,Canada,-0.512
